nom;balf;cod_quartier;sndi_domaine;cod_dir_dep;cod_dep;lib_dep;dom_fonc
papaye;dg75-dsi-maintenance-papaye@insee.fr;CJ;75-Statistiques de court terme entreprises;DSE;DSCT;Dep. statistiques de court terme;Stat. de court terme entreprises
Estanp;dr44-sndi-estanp@insee.fr;EN;44-Projet Estanp;DSE;DSCT;Dep. statistiques de court terme;Stat. structurelles d’entreprises
elire;ci44-maintenance-elire@insee.fr;RI;44-Répertoire des personnes;DSDS;DD;Dep. démographie;Rep. de personnes physiques
am3ds;dr45-sndi-resil-developpement@insee.fr;RI;45-Silo;DSDS;DD;Dep. démographie;Rep. statistiques démographiques et sociales
pareo;;CJ;75-Statistiques de court terme entreprises;DSE;DSCT;Dep. statistiques de court terme;Stat. de court terme entreprises
brpp;ci44-maintenance-brpp2@insee.fr;RI;44-Répertoire des personnes;DSDS;DD;Dep. démographie;Rep. de personnes physiques
Harmonica;dg75-dsi-maintenance-papaye@insee.fr;CJ;75-Statistiques de court terme entreprises;DSE;DSCT;Dep. statistiques de court terme;Stat. de court terme entreprises
trombi;dg75-dsi-domaine-sg@insee.fr;RH;75-Secrétariat général;SG;UCAT;Unité coordination des activités transversales;Sites web, communication
majiba3;dg75-dsi-domaine-outils-transverses@insee.fr;AP;75-DOT;DSI;DPII;Dep. Production et infrastructure informatique;Services informatiques
achille;dg75-dsi-domaine-rp@insee.fr;RP;75-Démographie;DSDS;DD;Dep. démographie;Recensement de la population
orbeonexist;dr59-sin-maintenance-coltrane@insee.fr;ST;59-Préparer - Collecter;DSE;DRISS;Dep. répertoires, infrastructures et statistiques structurelles;Filière de produits d’enquêtes
octavie;dg75-dsi-maintenance-dessin@insee.fr;EN;75-Statistiques de court terme entreprises;DSE;DSS;Dep. des synthèses sectorielles;Enquêtes auprès des entreprises
hyperx;gestion-siamoi@insee.fr;UT;service assistance aux utilisateurs;DSI;DPII;Dep. Production et infrastructure informatique;Services informatiques
