Volume;env;quartier;dc;zone;type;CapFS;SomCapVV;UseCapFS%;UseFS;SomUseVV;diff_UseFS-SomUseVV
vol_pd_as_an_d1_50_data;pd;AN;d1;Int;data;100.0;206.0;106.0;0.887109;0.22;0.67
vol_pd_as_an_d1_50_logs;pd;AN;d1;Int;logs;50.0;146.0;192.0;19.53;18.75;0.78
vol_pd_as_ap_d1_50_data;pd;AP;d1;Int;data;35.0;125.0;257.14;18.94;18.84;0.1
vol_pd_as_ap_d1_50_logs;pd;AP;d1;Int;logs;171.0;211.0;23.39;97.09;45.82;51.27
vol_pd_as_cj_d1_50_data;pd;CJ;d1;Int;data;250.0;221.0;-11.6;93.37;112.39;-19.02
vol_pd_as_cj_d1_50_logs;pd;CJ;d1;Int;logs;125.0;99.0;-20.8;6.72;6.4;0.32
vol_pd_as_cn_d1_50_data;pd;CN;d1;Int;data;1022.0;1075.0;5.19;45.6;38.98;6.62
vol_pd_as_cn_d1_50_logs;pd;CN;d1;Int;logs;54.0;37.0;-31.48;2.17;1.79;0.38
vol_pd_as_df_d1_50_data;pd;DF;d1;Int;data;540.0;561.0;3.89;132.8;171.45;-38.65
vol_pd_as_df_d1_50_logs;pd;DF;d1;Int;logs;19.0;14.0;-26.32;1.87;1.7;0.17
vol_pd_as_en_d1_50_data;pd;EN;d1;Int;data;2048.0;2321.08;13.33;1392.64;1422.63;-29.99
vol_pd_as_en_d1_50_logs;pd;EN;d1;Int;logs;143.0;198.0;38.46;85.69;85.25;0.44
vol_pd_as_ep_d1_50_data;pd;EP;d1;Int;data;4997.12;4007.76;-19.8;2426.88;2468.84;-41.96
vol_pd_as_ep_d1_50_logs;pd;EP;d1;Int;logs;100.0;118.0;18.0;22.2;22.44;-0.24
vol_pd_as_et_d1_50_data;pd;ET;d1;Int;data;126.0;26.0;-79.37;3.28;4.43;-1.15
vol_pd_as_et_d1_50_logs;pd;ET;d1;Int;logs;18.0;6.0;-66.67;0.124609;0.0;0.12
vol_pd_as_ge_d1_50_data;pd;GE;d1;Int;data;700.0;812.0;16.0;424.3;435.43;-11.13
vol_pd_as_ge_d1_50_logs;pd;GE;d1;Int;logs;21.0;15.0;-28.57;4.69;4.65;0.04
vol_pd_as_if_d1_50_data;pd;IF;d1;Int;data;100.0;;;1.01;;
vol_pd_as_if_d1_50_logs;pd;IF;d1;Int;logs;20.0;;;0.216504;;
vol_pd_as_mn_d1_50_data;pd;MN;d1;Int;data;18432.0;14343.92;-22.18;7813.12;8707.14;-894.02
vol_pd_as_mn_d1_50_logs;pd;MN;d1;Int;logs;54.0;76.0;40.74;30.63;29.23;1.4
vol_pd_as_pl_d1_50_data;pd;PL;d1;Int;data;325.0;404.0;24.31;198.4;244.52;-46.12
vol_pd_as_pl_d1_50_logs;pd;PL;d1;Int;logs;54.0;84.0;55.56;27.62;33.58;-5.96
vol_pd_as_px_d1_50_data;pd;PX;d1;Int;data;1495.04;1506.04;0.74;346.9;336.27;10.63
