Vserver;Volume;Capacite;Utilise
"<a href=""index.php?vserver=pd_as_an_d1_50&amp;volume=vol_pd_as_an_d1_50_data"">pd_as_an_d1_50</a>";vol_pd_as_an_d1_50_data;100GB;398.1MB
"<a href=""index.php?vserver=pd_as_an_d1_50&amp;volume=vol_pd_as_an_d1_50_logs"">pd_as_an_d1_50</a>";vol_pd_as_an_d1_50_logs;50GB;19.61GB
"<a href=""index.php?vserver=pd_as_ap_d1_50&amp;volume=vol_pd_as_ap_d1_50_data"">pd_as_ap_d1_50</a>";vol_pd_as_ap_d1_50_data;35GB;19.17GB
"<a href=""index.php?vserver=pd_as_ap_d1_50&amp;volume=vol_pd_as_ap_d1_50_logs"">pd_as_ap_d1_50</a>";vol_pd_as_ap_d1_50_logs;171GB;50.86GB
"<a href=""index.php?vserver=pd_as_cj_d1_50&amp;volume=vol_pd_as_cj_d1_50_data"">pd_as_cj_d1_50</a>";vol_pd_as_cj_d1_50_data;250GB;95.70GB
"<a href=""index.php?vserver=pd_as_cj_d1_50&amp;volume=vol_pd_as_cj_d1_50_logs"">pd_as_cj_d1_50</a>";vol_pd_as_cj_d1_50_logs;125GB;9.00GB
"<a href=""index.php?vserver=pd_as_cn_d1_50&amp;volume=vol_pd_as_cn_d1_50_data"">pd_as_cn_d1_50</a>";vol_pd_as_cn_d1_50_data;1022GB;43.70GB
"<a href=""index.php?vserver=pd_as_cn_d1_50&amp;volume=vol_pd_as_cn_d1_50_logs"">pd_as_cn_d1_50</a>";vol_pd_as_cn_d1_50_logs;54GB;2.52GB
"<a href=""index.php?vserver=pd_as_df_d1_50&amp;volume=vol_pd_as_df_d1_50_data"">pd_as_df_d1_50</a>";vol_pd_as_df_d1_50_data;540GB;136.5GB
"<a href=""index.php?vserver=pd_as_df_d1_50&amp;volume=vol_pd_as_df_d1_50_logs"">pd_as_df_d1_50</a>";vol_pd_as_df_d1_50_logs;19GB;2.03GB
"<a href=""index.php?vserver=pd_as_en_d1_50&amp;volume=vol_pd_as_en_d1_50_data"">pd_as_en_d1_50</a>";vol_pd_as_en_d1_50_data;2TB;1.29TB
"<a href=""index.php?vserver=pd_as_en_d1_50&amp;volume=vol_pd_as_en_d1_50_logs"">pd_as_en_d1_50</a>";vol_pd_as_en_d1_50_logs;143GB;89.96GB
"<a href=""index.php?vserver=pd_as_ep_d1_50&amp;volume=vol_pd_as_ep_d1_50_data"">pd_as_ep_d1_50</a>";vol_pd_as_ep_d1_50_data;4.88TB;2.36TB
"<a href=""index.php?vserver=pd_as_ep_d1_50&amp;volume=vol_pd_as_ep_d1_50_logs"">pd_as_ep_d1_50</a>";vol_pd_as_ep_d1_50_logs;100GB;19.46GB
"<a href=""index.php?vserver=pd_as_et_d1_50&amp;volume=vol_pd_as_et_d1_50_data"">pd_as_et_d1_50</a>";vol_pd_as_et_d1_50_data;126GB;3.43GB
"<a href=""index.php?vserver=pd_as_et_d1_50&amp;volume=vol_pd_as_et_d1_50_logs"">pd_as_et_d1_50</a>";vol_pd_as_et_d1_50_logs;18GB;206.6MB
"<a href=""index.php?vserver=pd_as_ge_d1_50&amp;volume=vol_pd_as_ge_d1_50_data"">pd_as_ge_d1_50</a>";vol_pd_as_ge_d1_50_data;700GB;429.5GB
"<a href=""index.php?vserver=pd_as_ge_d1_50&amp;volume=vol_pd_as_ge_d1_50_logs"">pd_as_ge_d1_50</a>";vol_pd_as_ge_d1_50_logs;21GB;5.85GB
