URL_light;Volume;Capacite;Utilise
"vserver=pd_as_an_d1_50&amp;volume=vol_pd_as_an_d1_50_data";vol_pd_as_an_d1_50_data;100GB;398.1MB
"vserver=pd_as_an_d1_50&amp;volume=vol_pd_as_an_d1_50_logs";vol_pd_as_an_d1_50_logs;50GB;19.61GB
"vserver=pd_as_ap_d1_50&amp;volume=vol_pd_as_ap_d1_50_data";vol_pd_as_ap_d1_50_data;35GB;19.17GB
"vserver=pd_as_ap_d1_50&amp;volume=vol_pd_as_ap_d1_50_logs";vol_pd_as_ap_d1_50_logs;171GB;50.86GB
"vserver=pd_as_cj_d1_50&amp;volume=vol_pd_as_cj_d1_50_data";vol_pd_as_cj_d1_50_data;250GB;95.70GB
"vserver=pd_as_cj_d1_50&amp;volume=vol_pd_as_cj_d1_50_logs";vol_pd_as_cj_d1_50_logs;125GB;9.00GB
"vserver=pd_as_cn_d1_50&amp;volume=vol_pd_as_cn_d1_50_data";vol_pd_as_cn_d1_50_data;1022GB;43.70GB
"vserver=pd_as_cn_d1_50&amp;volume=vol_pd_as_cn_d1_50_logs";vol_pd_as_cn_d1_50_logs;54GB;2.52GB
"vserver=pd_as_df_d1_50&amp;volume=vol_pd_as_df_d1_50_data";vol_pd_as_df_d1_50_data;540GB;136.5GB
"vserver=pd_as_df_d1_50&amp;volume=vol_pd_as_df_d1_50_logs";vol_pd_as_df_d1_50_logs;19GB;2.03GB
"vserver=pd_as_en_d1_50&amp;volume=vol_pd_as_en_d1_50_data";vol_pd_as_en_d1_50_data;2TB;1.29TB
"vserver=pd_as_en_d1_50&amp;volume=vol_pd_as_en_d1_50_logs";vol_pd_as_en_d1_50_logs;143GB;89.96GB
"vserver=pd_as_ep_d1_50&amp;volume=vol_pd_as_ep_d1_50_data";vol_pd_as_ep_d1_50_data;4.88TB;2.36TB
"vserver=pd_as_ep_d1_50&amp;volume=vol_pd_as_ep_d1_50_logs";vol_pd_as_ep_d1_50_logs;100GB;19.46GB
"vserver=pd_as_et_d1_50&amp;volume=vol_pd_as_et_d1_50_data";vol_pd_as_et_d1_50_data;126GB;3.43GB
"vserver=pd_as_et_d1_50&amp;volume=vol_pd_as_et_d1_50_logs";vol_pd_as_et_d1_50_logs;18GB;206.6MB
"vserver=pd_as_ge_d1_50&amp;volume=vol_pd_as_ge_d1_50_data";vol_pd_as_ge_d1_50_data;700GB;429.5GB
"vserver=pd_as_ge_d1_50&amp;volume=vol_pd_as_ge_d1_50_logs";vol_pd_as_ge_d1_50_logs;21GB;5.85GB
"vserver=pd_as_if_d1_50&amp;volume=vol_pd_as_if_d1_50_data";vol_pd_as_if_d1_50_data;100GB;1.14GB
"vserver=pd_as_if_d1_50&amp;volume=vol_pd_as_if_d1_50_logs";vol_pd_as_if_d1_50_logs;20GB;33.09MB
"vserver=pd_as_mn_d1_50&amp;volume=vol_pd_as_mn_d1_50_data";vol_pd_as_mn_d1_50_data;18TB;7.87TB
"vserver=pd_as_mn_d1_50&amp;volume=vol_pd_as_mn_d1_50_logs";vol_pd_as_mn_d1_50_logs;54GB;28.76GB
"vserver=pd_as_pl_d1_50&amp;volume=vol_pd_as_pl_d1_50_data";vol_pd_as_pl_d1_50_data;325GB;197.5GB
"vserver=pd_as_pl_d1_50&amp;volume=vol_pd_as_pl_d1_50_logs";vol_pd_as_pl_d1_50_logs;54GB;29.93GB
"vserver=pd_as_px_d1_50&amp;volume=vol_pd_as_px_d1_50_data";vol_pd_as_px_d1_50_data;1.46TB;603.1GB
"vserver=pd_as_px_d1_50&amp;volume=vol_pd_as_px_d1_50_logs";vol_pd_as_px_d1_50_logs;18GB;553.9MB
"vserver=pd_as_re_d1_50&amp;volume=vol_pd_as_re_d1_50_data";vol_pd_as_re_d1_50_data;100GB;43.82GB
"vserver=pd_as_re_d1_50&amp;volume=vol_pd_as_re_d1_50_logs";vol_pd_as_re_d1_50_logs;35GB;1.13GB
"vserver=pd_as_rh_d1_50&amp;volume=vol_pd_as_rh_d1_50_data";vol_pd_as_rh_d1_50_data;18GB;1.20GB
"vserver=pd_as_rh_d1_50&amp;volume=vol_pd_as_rh_d1_50_logs";vol_pd_as_rh_d1_50_logs;18GB;341.7MB
"vserver=pd_as_ri_d1_50&amp;volume=vol_pd_as_ri_d1_50_data";vol_pd_as_ri_d1_50_data;3.91TB;2.74TB
"vserver=pd_as_ri_d1_50&amp;volume=vol_pd_as_ri_d1_50_logs";vol_pd_as_ri_d1_50_logs;18GB;1.13GB
"vserver=pd_as_rp_d1_50&amp;volume=vol_pd_as_rp_d1_50_data";vol_pd_as_rp_d1_50_data;21TB;7.65TB
"vserver=pd_as_rp_d1_50&amp;volume=vol_pd_as_rp_d1_50_logs";vol_pd_as_rp_d1_50_logs;54GB;2.49GB
"vserver=pd_as_st_d1_50&amp;volume=vol_pd_as_st_d1_50_data";vol_pd_as_st_d1_50_data;350GB;143.4GB
"vserver=pd_as_st_d1_50&amp;volume=vol_pd_as_st_d1_50_logs";vol_pd_as_st_d1_50_logs;21GB;10.15GB
"vserver=pd_as_ut_d1_50&amp;volume=vol_pd_as_ut_d1_50_data";vol_pd_as_ut_d1_50_data;700GB;229.8GB
"vserver=pd_as_ut_d1_50&amp;volume=vol_pd_as_ut_d1_50_logs";vol_pd_as_ut_d1_50_logs;36GB;3.77GB
"vserver=pd_aus_COM&amp;volume=vol_pd_aus_COM";vol_pd_aus_COM;200GB;62.44GB
"vserver=pd_aus_DEP&amp;volume=vol_pd_aus_DEP";vol_pd_aus_DEP;520GB;51.37GB
"vserver=pd_aus_ECH&amp;volume=vol_pd_aus_ECH";vol_pd_aus_ECH;45TB;26.99TB
"vserver=pd_aus_ESP_U&amp;volume=vol_pd_aus_ESP_U";vol_pd_aus_ESP_U;6TB;3.70TB
"vserver=pd_aus_ESP_Z&amp;volume=vol_pd_aus_ESP_Z";vol_pd_aus_ESP_Z;16TB;8.86TB
"vserver=pd_aus_GEN&amp;volume=vol_pd_aus_GEN";vol_pd_aus_GEN;6TB;5.40TB
"vserver=pd_aus_HAB&amp;volume=vol_pd_aus_HAB";vol_pd_aus_HAB;131TB;118.5TB
"vserver=pd_aus_POL&amp;volume=vol_pd_aus_POL";vol_pd_aus_POL;3TB;1.62TB
"vserver=pd_aus_RFS&amp;volume=vol_pd_aus_RFS";vol_pd_aus_RFS;14TB;11.81TB
"vserver=pd_aus_VER&amp;volume=vol_pd_aus_VER";vol_pd_aus_VER;1TB;702.1GB
"vserver=pd_aus_gen_mad&amp;volume=vol_pd_aus_gen_mad";vol_pd_aus_gen_mad;6.84TB;129.6GB
"vserver=pd_aus_rfs_mad&amp;volume=vol_pd_aus_rfs_mad";vol_pd_aus_rfs_mad;14.65TB;751.7MB
"vserver=pd_dpt_if_d1_50&amp;volume=vol_pd_dpt_if_d1_50_data";vol_pd_dpt_if_d1_50_data;2.50TB;1.71TB
