URL_light;Volume;env;quartier;dc;zone;type;CapFS;UseFS;Use%
"vserver=hp_as_an_d2_50&amp;volume=vol_hp_as_an_d2_50_data";vol_hp_as_an_d2_50_data;hp;AN;d2;Int;data;100.0;13.22;13.22
"vserver=hp_as_an_d2_50&amp;volume=vol_hp_as_an_d2_50_logs";vol_hp_as_an_d2_50_logs;hp;AN;d2;Int;logs;50.0;5.88;11.76
"vserver=hp_as_ap_d2_50&amp;volume=vol_hp_as_ap_d2_50_data";vol_hp_as_ap_d2_50_data;hp;AP;d2;Int;data;100.0;23.7;23.7
"vserver=hp_as_ap_d2_50&amp;volume=vol_hp_as_ap_d2_50_logs";vol_hp_as_ap_d2_50_logs;hp;AP;d2;Int;logs;50.0;17.57;35.14
"vserver=hp_as_cj_d2_50&amp;volume=vol_hp_as_cj_d2_50_data";vol_hp_as_cj_d2_50_data;hp;CJ;d2;Int;data;395.0;47.49;12.02
"vserver=hp_as_cj_d2_50&amp;volume=vol_hp_as_cj_d2_50_logs";vol_hp_as_cj_d2_50_logs;hp;CJ;d2;Int;logs;54.0;1.35;2.5
"vserver=hp_as_cn_d2_50&amp;volume=vol_hp_as_cn_d2_50_data";vol_hp_as_cn_d2_50_data;hp;CN;d2;Int;data;500.0;15.08;3.02
"vserver=hp_as_cn_d2_50&amp;volume=vol_hp_as_cn_d2_50_logs";vol_hp_as_cn_d2_50_logs;hp;CN;d2;Int;logs;54.0;0.2678;0.5
"vserver=hp_as_df_d2_50&amp;volume=vol_hp_as_df_d2_50_data";vol_hp_as_df_d2_50_data;hp;DF;d2;Int;data;2500.0;614.2;24.57
"vserver=hp_as_df_d2_50&amp;volume=vol_hp_as_df_d2_50_logs";vol_hp_as_df_d2_50_logs;hp;DF;d2;Int;logs;55.0;11.64;21.16
"vserver=hp_as_en_d2_50&amp;volume=vol_hp_as_en_d2_50_data";vol_hp_as_en_d2_50_data;hp;EN;d2;Int;data;556.0;308.0;55.4
"vserver=hp_as_en_d2_50&amp;volume=vol_hp_as_en_d2_50_logs";vol_hp_as_en_d2_50_logs;hp;EN;d2;Int;logs;53.0;15.96;30.11
"vserver=hp_as_ep_d2_50&amp;volume=vol_hp_as_ep_d2_50_data";vol_hp_as_ep_d2_50_data;hp;EP;d2;Int;data;1000.0;334.2;33.42
