Volume;env;quartier;dc;zone;type;Application;Cap;Use;Use%
vol_pd_as_an_d1_50_data;pd;AN;d1;Int;data;spoc_pd;80.0;0.0;0.0
vol_pd_as_an_d1_50_data;pd;AN;d1;Int;data;contacts_pd;10.0;0.0;0.0
vol_pd_as_an_d1_50_data;pd;AN;d1;Int;data;igesa_pd;5.0;0.0;0.0
vol_pd_as_an_d1_50_data;pd;AN;d1;Int;data;keycloak_pd;20.0;0.0;0.0
vol_pd_as_an_d1_50_data;pd;AN;d1;Int;data;sugoi_pd;10.0;0.0;0.0
vol_pd_as_an_d1_50_data;pd;AN;d1;Int;data;annuaires_pd;30.0;0.22;0.75
vol_pd_as_an_d1_50_data;pd;AN;d1;Int;data;keycloak_pd2;20.0;0.0;0.0
vol_pd_as_an_d1_50_data;pd;AN;d1;Int;data;elk_pd;30.0;0.0;0.0
vol_pd_as_an_d1_50_data;pd;AN;d1;Int;data;pegase_pd;1.0;0.0;0.0
vol_pd_as_an_d1_50_logs;pd;AN;d1;Int;logs;spoc_pd;10.0;0.0;0.0
vol_pd_as_an_d1_50_logs;pd;AN;d1;Int;logs;contacts_pd;20.0;0.09;0.44
vol_pd_as_an_d1_50_logs;pd;AN;d1;Int;logs;igesa_pd;5.0;0.0;0.0
vol_pd_as_an_d1_50_logs;pd;AN;d1;Int;logs;keycloak_pd;20.0;7.13;35.65
vol_pd_as_an_d1_50_logs;pd;AN;d1;Int;logs;sugoi_pd;10.0;4.73;47.3
vol_pd_as_an_d1_50_logs;pd;AN;d1;Int;logs;annuaires_pd;30.0;6.36;21.2
vol_pd_as_an_d1_50_logs;pd;AN;d1;Int;logs;keycloak_pd2;20.0;0.0;0.0
vol_pd_as_an_d1_50_logs;pd;AN;d1;Int;logs;elk_pd;30.0;0.43;1.44
vol_pd_as_an_d1_50_logs;pd;AN;d1;Int;logs;pegase_pd;1.0;0.01;0.76
vol_pd_as_ap_d1_50_data;pd;AP;d1;Int;data;majsql_pd;1.0;0.0;0.1
vol_pd_as_ap_d1_50_data;pd;AP;d1;Int;data;_service_pd;50.0;7.23;14.46
vol_pd_as_ap_d1_50_data;pd;AP;d1;Int;data;cigal_pd;10.0;4.94;49.4
vol_pd_as_ap_d1_50_data;pd;AP;d1;Int;data;gitlab_pd;5.0;1.12;22.4
vol_pd_as_ap_d1_50_data;pd;AP;d1;Int;data;pegase_pd;5.0;1.14;22.8
vol_pd_as_ap_d1_50_data;pd;AP;d1;Int;data;sas_pd;1.0;0.0;0.02
vol_pd_as_ap_d1_50_data;pd;AP;d1;Int;data;wspegase_pd;1.0;0.0;0.0
vol_pd_as_ap_d1_50_data;pd;AP;d1;Int;data;majiba_pd;5.0;4.32;86.4
vol_pd_as_ap_d1_50_data;pd;AP;d1;Int;data;majiba3_pd;30.0;0.0;0.0
vol_pd_as_ap_d1_50_data;pd;AP;d1;Int;data;gravitee_pd;1.0;0.0;0.0
vol_pd_as_ap_d1_50_data;pd;AP;d1;Int;data;vault_pd;5.0;0.09;1.88
vol_pd_as_ap_d1_50_data;pd;AP;d1;Int;data;oiseau_pd;10.0;0.0;0.0
vol_pd_as_ap_d1_50_data;pd;AP;d1;Int;data;rainette_pd;1.0;0.0;0.0
vol_pd_as_ap_d1_50_logs;pd;AP;d1;Int;logs;majsql_pd;10.0;4.47;44.7
vol_pd_as_ap_d1_50_logs;pd;AP;d1;Int;logs;sas_pd;1.0;0.0;0.0
vol_pd_as_ap_d1_50_logs;pd;AP;d1;Int;logs;cigal_pd;5.0;0.0;0.05
vol_pd_as_ap_d1_50_logs;pd;AP;d1;Int;logs;wspegase_pd;1.0;0.0;0.05
vol_pd_as_ap_d1_50_logs;pd;AP;d1;Int;logs;gitlab_pd;50.0;20.95;41.9
vol_pd_as_ap_d1_50_logs;pd;AP;d1;Int;logs;majiba_pd;1.0;0.19;19.14
vol_pd_as_ap_d1_50_logs;pd;AP;d1;Int;logs;pegase_pd;5.0;0.01;0.18
vol_pd_as_ap_d1_50_logs;pd;AP;d1;Int;logs;_service_pd;5.0;0.0;0.0
vol_pd_as_ap_d1_50_logs;pd;AP;d1;Int;logs;majiba3_pd;30.0;3.76;12.53
vol_pd_as_ap_d1_50_logs;pd;AP;d1;Int;logs;gravitee_pd;1.0;0.03;2.75
vol_pd_as_ap_d1_50_logs;pd;AP;d1;Int;logs;vault_pd;100.0;17.09;17.09
vol_pd_as_ap_d1_50_logs;pd;AP;d1;Int;logs;oiseau_pd;1.0;0.0;0.0
vol_pd_as_ap_d1_50_logs;pd;AP;d1;Int;logs;rainette_pd;1.0;0.0;0.0
vol_pd_as_cj_d1_50_data;pd;CJ;d1;Int;data;elbs_pd;5.0;0.95;18.96
vol_pd_as_cj_d1_50_data;pd;CJ;d1;Int;data;elbs_pd2;1.0;0.0;0.0
vol_pd_as_cj_d1_50_data;pd;CJ;d1;Int;data;papaye_pd;20.0;9.42;47.1
vol_pd_as_cj_d1_50_data;pd;CJ;d1;Int;data;ofats_pd;10.0;0.64;6.45
vol_pd_as_cj_d1_50_data;pd;CJ;d1;Int;data;conjoncture_pd;60.0;48.27;80.45
vol_pd_as_cj_d1_50_data;pd;CJ;d1;Int;data;ecmoss_pd;5.0;1.09;21.8
vol_pd_as_cj_d1_50_data;pd;CJ;d1;Int;data;tourisme3_pd;20.0;13.86;69.3
vol_pd_as_cj_d1_50_data;pd;CJ;d1;Int;data;harmonica_pd;100.0;38.16;38.16
vol_pd_as_cj_d1_50_logs;pd;CJ;d1;Int;logs;elbs_pd2;1.0;0.0;0.0
vol_pd_as_cj_d1_50_logs;pd;CJ;d1;Int;logs;elbs_pd;1.0;0.8;79.93
vol_pd_as_cj_d1_50_logs;pd;CJ;d1;Int;logs;conjoncture_pd;20.0;2.9;14.5
vol_pd_as_cj_d1_50_logs;pd;CJ;d1;Int;logs;ofats_pd;1.0;0.54;53.96
vol_pd_as_cj_d1_50_logs;pd;CJ;d1;Int;logs;tourisme3_pd;50.0;0.11;0.23
vol_pd_as_cj_d1_50_logs;pd;CJ;d1;Int;logs;ecmoss_pd;1.0;0.39;38.78
vol_pd_as_cj_d1_50_logs;pd;CJ;d1;Int;logs;papaye_pd;20.0;1.53;7.65
vol_pd_as_cj_d1_50_logs;pd;CJ;d1;Int;logs;harmonica_pd;5.0;0.13;2.56
vol_pd_as_cn_d1_50_data;pd;CN;d1;Int;data;toucan_pd;5.0;2.68;53.6
vol_pd_as_cn_d1_50_data;pd;CN;d1;Int;data;iecn_pd;1000.0;0.0;0.0
vol_pd_as_cn_d1_50_data;pd;CN;d1;Int;data;ariege_pd;30.0;19.95;66.5
vol_pd_as_cn_d1_50_data;pd;CN;d1;Int;data;ecmoss_pd;10.0;0.51;5.08
vol_pd_as_cn_d1_50_data;pd;CN;d1;Int;data;goeland_pd;30.0;15.82;52.73
vol_pd_as_cn_d1_50_logs;pd;CN;d1;Int;logs;toucan_pd;20.0;0.71;3.55
vol_pd_as_cn_d1_50_logs;pd;CN;d1;Int;logs;ecmoss_pd;6.0;0.71;11.88
vol_pd_as_cn_d1_50_logs;pd;CN;d1;Int;logs;ariege_pd;5.0;0.37;7.32
vol_pd_as_cn_d1_50_logs;pd;CN;d1;Int;logs;iecn_pd;5.0;0.0;0.0
vol_pd_as_cn_d1_50_logs;pd;CN;d1;Int;logs;goeland_pd;1.0;0.0;0.09
vol_pd_as_df_d1_50_data;pd;DF;d1;Int;data;portar_pd;5.0;2.0;40.0
vol_pd_as_df_d1_50_data;pd;DF;d1;Int;data;edl_pd;500.0;157.9;31.58
vol_pd_as_df_d1_50_data;pd;DF;d1;Int;data;statweb4g_pd;5.0;1.36;27.2
vol_pd_as_df_d1_50_data;pd;DF;d1;Int;data;melodi_pd;50.0;10.19;20.38
vol_pd_as_df_d1_50_data;pd;DF;d1;Int;data;ddl_pd;1.0;0.0;0.0
vol_pd_as_df_d1_50_logs;pd;DF;d1;Int;logs;statweb4g_pd;1.0;0.0;0.16
vol_pd_as_df_d1_50_logs;pd;DF;d1;Int;logs;edl_pd;10.0;1.68;16.8
vol_pd_as_df_d1_50_logs;pd;DF;d1;Int;logs;portar_pd;1.0;0.02;2.18
vol_pd_as_df_d1_50_logs;pd;DF;d1;Int;logs;melodi_pd;1.0;0.0;0.0
vol_pd_as_df_d1_50_logs;pd;DF;d1;Int;logs;ddl_pd;1.0;0.0;0.0
vol_pd_as_en_d1_50_data;pd;EN;d1;Int;data;iae_pd;1.0;0.0;0.0
vol_pd_as_en_d1_50_data;pd;EN;d1;Int;data;profilapp_pd;20.0;17.38;86.9
vol_pd_as_en_d1_50_data;pd;EN;d1;Int;data;ful_pd;100.0;43.4;43.4
vol_pd_as_en_d1_50_data;pd;EN;d1;Int;data;esanearc_pd;50.0;26.02;52.04
vol_pd_as_en_d1_50_data;pd;EN;d1;Int;data;octavie_pd;50.0;21.54;43.08
vol_pd_as_en_d1_50_data;pd;EN;d1;Int;data;lifi3_pd;600.0;173.4;28.9
vol_pd_as_en_d1_50_data;pd;EN;d1;Int;data;esane_pd;1198.08;935.9;78.12
vol_pd_as_en_d1_50_data;pd;EN;d1;Int;data;oasis_pd;100.0;93.89;93.89
vol_pd_as_en_d1_50_data;pd;EN;d1;Int;data;ocapi_pd2;1.0;0.0;0.0
vol_pd_as_en_d1_50_data;pd;EN;d1;Int;data;ocapi_pd;150.0;94.53;63.02
vol_pd_as_en_d1_50_data;pd;EN;d1;Int;data;origami_pd;50.0;16.46;32.92
vol_pd_as_en_d1_50_data;pd;EN;d1;Int;data;calvados_pd;1.0;0.11;10.75
vol_pd_as_en_d1_50_logs;pd;EN;d1;Int;logs;esanearc_pd;5.0;0.01;0.2
vol_pd_as_en_d1_50_logs;pd;EN;d1;Int;logs;iae_pd;1.0;0.0;0.0
vol_pd_as_en_d1_50_logs;pd;EN;d1;Int;logs;profilapp_pd;5.0;0.51;10.18
vol_pd_as_en_d1_50_logs;pd;EN;d1;Int;logs;octavie_pd;1.0;0.48;48.0
vol_pd_as_en_d1_50_logs;pd;EN;d1;Int;logs;ful_pd;10.0;4.27;42.7
vol_pd_as_en_d1_50_logs;pd;EN;d1;Int;logs;ocapi_pd2;1.0;0.0;0.0
vol_pd_as_en_d1_50_logs;pd;EN;d1;Int;logs;ocapi_pd;5.0;0.31;6.12
vol_pd_as_en_d1_50_logs;pd;EN;d1;Int;logs;origami_pd;5.0;0.47;9.36
vol_pd_as_en_d1_50_logs;pd;EN;d1;Int;logs;oasis_pd;5.0;1.32;26.4
vol_pd_as_en_d1_50_logs;pd;EN;d1;Int;logs;calvados_pd;10.0;5.24;52.4
vol_pd_as_en_d1_50_logs;pd;EN;d1;Int;logs;lifi3_pd;50.0;2.99;5.98
vol_pd_as_en_d1_50_logs;pd;EN;d1;Int;logs;esane_pd;100.0;69.65;69.65
vol_pd_as_ep_d1_50_data;pd;EP;d1;Int;data;artemisdads_pd;8.0;5.42;67.75
vol_pd_as_ep_d1_50_data;pd;EP;d1;Int;data;dsnflash_pd;10.0;2.19;21.9
vol_pd_as_ep_d1_50_data;pd;EP;d1;Int;data;dianedads_pd;200.0;94.69;47.34
vol_pd_as_ep_d1_50_data;pd;EP;d1;Int;data;arc_pd;1269.76;1054.72;83.06
vol_pd_as_ep_d1_50_data;pd;EP;d1;Int;data;diane_pd;400.0;364.3;91.08
vol_pd_as_ep_d1_50_data;pd;EP;d1;Int;data;thesee_pd;500.0;136.0;27.2
vol_pd_as_ep_d1_50_data;pd;EP;d1;Int;data;heracles_pd;20.0;16.86;84.3
vol_pd_as_ep_d1_50_data;pd;EP;d1;Int;data;arcdads_pd;500.0;301.9;60.38
vol_pd_as_ep_d1_50_data;pd;EP;d1;Int;data;arccts_pd;550.0;376.7;68.49
vol_pd_as_ep_d1_50_data;pd;EP;d1;Int;data;artemis_pd;200.0;32.56;16.28
vol_pd_as_ep_d1_50_data;pd;EP;d1;Int;data;arcpasrauresil_pd;100.0;42.61;42.61
vol_pd_as_ep_d1_50_data;pd;EP;d1;Int;data;arcfiscalresil_pd;250.0;40.89;16.36
vol_pd_as_ep_d1_50_logs;pd;EP;d1;Int;logs;artemis_pd;30.0;13.15;43.83
vol_pd_as_ep_d1_50_logs;pd;EP;d1;Int;logs;heracles_pd;5.0;4.11;82.2
vol_pd_as_ep_d1_50_logs;pd;EP;d1;Int;logs;dianedads_pd;5.0;0.24;4.89
vol_pd_as_ep_d1_50_logs;pd;EP;d1;Int;logs;arccts_pd;1.0;0.06;6.5
vol_pd_as_ep_d1_50_logs;pd;EP;d1;Int;logs;dsnflash_pd;5.0;1.54;30.8
vol_pd_as_ep_d1_50_logs;pd;EP;d1;Int;logs;diane_pd;5.0;0.23;4.53
vol_pd_as_ep_d1_50_logs;pd;EP;d1;Int;logs;thesee_pd;5.0;0.57;11.41
vol_pd_as_ep_d1_50_logs;pd;EP;d1;Int;logs;artemisdads_pd;5.0;0.85;16.98
vol_pd_as_ep_d1_50_logs;pd;EP;d1;Int;logs;arc_pd;5.0;0.35;6.9
vol_pd_as_ep_d1_50_logs;pd;EP;d1;Int;logs;arcdads_pd;50.0;0.09;0.19
vol_pd_as_ep_d1_50_logs;pd;EP;d1;Int;logs;arcpasrauresil_pd;1.0;0.53;53.1
vol_pd_as_ep_d1_50_logs;pd;EP;d1;Int;logs;arcfiscalresil_pd;1.0;0.72;72.28
vol_pd_as_et_d1_50_data;pd;ET;d1;Int;data;dmtr_pd;5.0;0.0;0.0
vol_pd_as_et_d1_50_data;pd;ET;d1;Int;data;dr35form_pd;5.0;2.02;40.4
vol_pd_as_et_d1_50_data;pd;ET;d1;Int;data;pildrapp_pd;5.0;0.41;8.26
vol_pd_as_et_d1_50_data;pd;ET;d1;Int;data;sics_pd;5.0;1.59;31.8
vol_pd_as_et_d1_50_data;pd;ET;d1;Int;data;tbgestfi_pd;5.0;0.41;8.22
vol_pd_as_et_d1_50_data;pd;ET;d1;Int;data;eristats_pd;1.0;0.0;0.0
vol_pd_as_et_d1_50_logs;pd;ET;d1;Int;logs;sics_pd;1.0;0.0;0.0
vol_pd_as_et_d1_50_logs;pd;ET;d1;Int;logs;tbgestfi_pd;1.0;0.0;0.0
vol_pd_as_et_d1_50_logs;pd;ET;d1;Int;logs;eristats_pd;1.0;0.0;0.0
vol_pd_as_et_d1_50_logs;pd;ET;d1;Int;logs;pildrapp_pd;1.0;0.0;0.01
vol_pd_as_et_d1_50_logs;pd;ET;d1;Int;logs;dmtr_pd;1.0;0.0;0.0
vol_pd_as_et_d1_50_logs;pd;ET;d1;Int;logs;dr35form_pd;1.0;0.0;0.01
vol_pd_as_ge_d1_50_data;pd;GE;d1;Int;data;creacartes_pd;500.0;245.5;49.1
vol_pd_as_ge_d1_50_data;pd;GE;d1;Int;data;refigeo2_pd;5.0;0.86;17.16
vol_pd_as_ge_d1_50_data;pd;GE;d1;Int;data;refigsrv_pd;5.0;0.0;0.0
vol_pd_as_ge_d1_50_data;pd;GE;d1;Int;data;geosrv_pd;1.0;0.0;0.0
vol_pd_as_ge_d1_50_data;pd;GE;d1;Int;data;refi2wsi_pd;1.0;0.0;0.0
vol_pd_as_ge_d1_50_data;pd;GE;d1;Int;data;geoloc_pd;100.0;72.87;72.87
vol_pd_as_ge_d1_50_data;pd;GE;d1;Int;data;gaia_pd;200.0;116.2;58.1
vol_pd_as_ge_d1_50_logs;pd;GE;d1;Int;logs;geoloc_pd;5.0;3.16;63.2
vol_pd_as_ge_d1_50_logs;pd;GE;d1;Int;logs;geosrv_pd;1.0;0.0;0.0
vol_pd_as_ge_d1_50_logs;pd;GE;d1;Int;logs;refi2wsi_pd;1.0;0.0;0.0
vol_pd_as_ge_d1_50_logs;pd;GE;d1;Int;logs;refigeo2_pd;1.0;0.26;25.65
vol_pd_as_ge_d1_50_logs;pd;GE;d1;Int;logs;creacartes_pd;1.0;0.01;1.02
vol_pd_as_ge_d1_50_logs;pd;GE;d1;Int;logs;refigsrv_pd;1.0;0.0;0.01
vol_pd_as_ge_d1_50_logs;pd;GE;d1;Int;logs;gaia_pd;5.0;1.22;24.4
vol_pd_as_mn_d1_50_data;pd;MN;d1;Int;data;fideli_pd;2867.2;1239.04;43.21
vol_pd_as_mn_d1_50_data;pd;MN;d1;Int;data;sabiane_pd;8.0;5.06;63.25
